District,Total,Date
Erode,153251,11-05-2021
Kallakurichi,63439,11-05-2021
Kancheepuram,76317,11-05-2021
Kanniyakumari,131346,11-05-2021
Karur,65178,11-05-2021
Krishnagiri,153417,11-05-2021
Madurai,253109,11-05-2021
Nagapattinam,65434,11-05-2021
Namakkal,163605,11-05-2021
The Nilgiris,152183,11-05-2021
Perambalur,37625,11-05-2021
Pudukkottai,91947,11-05-2021
Ramanathapuram,78563,11-05-2021
Ranipet,51775,11-05-2021
Salem,378941,11-05-2021
Sivagangai,75829,11-05-2021
Tenkasi,68653,11-05-2021
Thanjavur,155351,11-05-2021
Theni,65192,11-05-2021
Thoothukudi,89001,11-05-2021
Tiruchirapalli,235744,11-05-2021
Tirunelveli,82782,11-05-2021
Tirupathur,74364,11-05-2021
Tiruppur,153678,11-05-2021
Tiruvallur,202463,11-05-2021
Tiruvannamalai,91230,11-05-2021
Tiruvarur,51271,11-05-2021
Vellore,181072,11-05-2021
Villupuram,116722,11-05-2021
Virudhunagar,208939,11-05-2021
Ariyalur,49162,12-05-2021
Chengalpattu,288662,12-05-2021
Chennai,1638287,12-05-2021
Coimbatore,459008,12-05-2021
Cuddalore,160703,12-05-2021
Dharmapuri,97597,12-05-2021
Dindigul,154096,12-05-2021
Erode,156226,12-05-2021
Kallakurichi,64038,12-05-2021
Kancheepuram,77452,12-05-2021
Kanniyakumari,134487,12-05-2021
Karur,66821,12-05-2021
Krishnagiri,156245,12-05-2021
Madurai,256345,12-05-2021
Nagapattinam,66277,12-05-2021
Namakkal,167833,12-05-2021
The Nilgiris,155868,12-05-2021
Perambalur,37926,12-05-2021
Pudukkottai,93242,12-05-2021
Ramanathapuram,79644,12-05-2021
Ranipet,52382,12-05-2021
Salem,383161,12-05-2021
Sivagangai,77232,12-05-2021
Tenkasi,70079,12-05-2021
Thanjavur,157235,12-05-2021
Theni,66010,12-05-2021
Thoothukudi,90279,12-05-2021
Tiruchirapalli,239059,12-05-2021
Tirunelveli,84250,12-05-2021
Tirupathur,74898,12-05-2021
Tiruppur,155003,12-05-2021
Tiruvallur,204189,12-05-2021
Tiruvannamalai,92218,12-05-2021
Tiruvarur,51340,12-05-2021
Vellore,182442,12-05-2021
Villupuram,118441,12-05-2021
Virudhunagar,212790,12-05-2021
Ariyalur,28189,13-04-2021
Chengalpattu,170124,13-04-2021
Chennai,1009344,13-04-2021
Coimbatore,280290,13-04-2021
Cuddalore,97784,13-04-2021
Dharmapuri,59972,13-04-2021
Dindigul,90212,13-04-2021
Erode,91846,13-04-2021
Kallakurichi,41193,13-04-2021
Kancheepuram,46689,13-04-2021
Kanniyakumari,80027,13-04-2021
Karur,43010,13-04-2021
Krishnagiri,100096,13-04-2021
Madurai,163038,13-04-2021
Nagapattinam,40952,13-04-2021
Namakkal,102865,13-04-2021
The Nilgiris,95161,13-04-2021
Perambalur,24636,13-04-2021
Pudukkottai,55257,13-04-2021
Ramanathapuram,47076,13-04-2021
Ranipet,30097,13-04-2021
Salem,250209,13-04-2021
Sivagangai,46174,13-04-2021
Tenkasi,42956,13-04-2021
Thanjavur,102561,13-04-2021
Theni,39916,13-04-2021
Thoothukudi,50863,13-04-2021
Tiruchirapalli,146035,13-04-2021
Tirunelveli,51672,13-04-2021
Tirupathur,43678,13-04-2021
Tiruppur,95028,13-04-2021
Tiruvallur,118031,13-04-2021
Tiruvannamalai,57322,13-04-2021
Tiruvarur,25421,13-04-2021
Vellore,112297,13-04-2021
Villupuram,84166,13-04-2021
Virudhunagar,135143,13-04-2021
Ariyalur,50022,13-05-2021
Chengalpattu,292551,13-05-2021
Chennai,1655320,13-05-2021
Coimbatore,462886,13-05-2021
Cuddalore,163008,13-05-2021
Dharmapuri,99185,13-05-2021
Dindigul,157582,13-05-2021
Erode,158010,13-05-2021
Kallakurichi,65279,13-05-2021
Kancheepuram,78985,13-05-2021
Kanniyakumari,135781,13-05-2021
Karur,68439,13-05-2021
Krishnagiri,159470,13-05-2021
Madurai,259770,13-05-2021
Nagapattinam,67369,13-05-2021
Namakkal,170924,13-05-2021
The Nilgiris,160688,13-05-2021
Perambalur,38335,13-05-2021
Pudukkottai,94884,13-05-2021
Ramanathapuram,81055,13-05-2021
Ranipet,53479,13-05-2021
Salem,387699,13-05-2021
Sivagangai,78874,13-05-2021
Tenkasi,71491,13-05-2021
Thanjavur,159343,13-05-2021
Theni,66793,13-05-2021
Thoothukudi,91625,13-05-2021
Tiruchirapalli,242646,13-05-2021
Tirunelveli,86145,13-05-2021
Tirupathur,75572,13-05-2021
Tiruppur,156910,13-05-2021
Tiruvallur,206939,13-05-2021
Tiruvannamalai,93710,13-05-2021
Tiruvarur,52496,13-05-2021
Vellore,183901,13-05-2021
Villupuram,120380,13-05-2021
Virudhunagar,216113,13-05-2021
Ariyalur,28884,14-04-2021
Chengalpattu,172739,14-04-2021
Chennai,1023492,14-04-2021
Coimbatore,285165,14-04-2021
Cuddalore,99042,14-04-2021
Dharmapuri,62060,14-04-2021
Dindigul,93450,14-04-2021
Erode,93940,14-04-2021
Kallakurichi,41839,14-04-2021
Kancheepuram,47974,14-04-2021
Kanniyakumari,82026,14-04-2021
Karur,44237,14-04-2021
Krishnagiri,101014,14-04-2021
Madurai,166097,14-04-2021
Nagapattinam,41237,14-04-2021
Namakkal,105176,14-04-2021
The Nilgiris,96931,14-04-2021
Perambalur,25196,14-04-2021
Pudukkottai,56580,14-04-2021
Ramanathapuram,47811,14-04-2021
Ranipet,30758,14-04-2021
Salem,254257,14-04-2021
Sivagangai,47153,14-04-2021
Tenkasi,43609,14-04-2021
Thanjavur,103909,14-04-2021
Theni,40841,14-04-2021
Thoothukudi,52103,14-04-2021
Tiruchirapalli,148446,14-04-2021
Tirunelveli,52388,14-04-2021
Tirupathur,46023,14-04-2021
Tiruppur,96894,14-04-2021
Tiruvallur,120131,14-04-2021
Tiruvannamalai,58189,14-04-2021
Tiruvarur,26184,14-04-2021
Vellore,115315,14-04-2021
Villupuram,84642,14-04-2021
Virudhunagar,137231,14-04-2021
Ariyalur,50803,14-05-2021
Chengalpattu,294143,14-05-2021
Chennai,1666856,14-05-2021
Coimbatore,467371,14-05-2021
Cuddalore,164306,14-05-2021
Dharmapuri,99672,14-05-2021
Dindigul,158795,14-05-2021
Erode,158902,14-05-2021
Kallakurichi,66243,14-05-2021
Kancheepuram,80170,14-05-2021
Kanniyakumari,135938,14-05-2021
Karur,69295,14-05-2021
Krishnagiri,160964,14-05-2021
Madurai,262099,14-05-2021
Nagapattinam,68069,14-05-2021
Namakkal,172186,14-05-2021
The Nilgiris,161393,14-05-2021
Perambalur,38466,14-05-2021
Pudukkottai,96102,14-05-2021
Ramanathapuram,81534,14-05-2021
Ranipet,54076,14-05-2021
Salem,390709,14-05-2021
Sivagangai,79617,14-05-2021
Tenkasi,72152,14-05-2021
Thanjavur,160682,14-05-2021
Theni,67360,14-05-2021
Thoothukudi,92589,14-05-2021
Tiruchirapalli,244658,14-05-2021
Tirunelveli,87049,14-05-2021
Tirupathur,76085,14-05-2021
Tiruppur,157352,14-05-2021
Tiruvallur,208385,14-05-2021
Tiruvannamalai,94155,14-05-2021
Tiruvarur,53983,14-05-2021
Vellore,184519,14-05-2021
Villupuram,121493,14-05-2021
Virudhunagar,218218,14-05-2021
Ariyalur,31491,15-04-2021
Chengalpattu,181273,15-04-2021
Chennai,1064148,15-04-2021
Coimbatore,307034,15-04-2021
Cuddalore,104447,15-04-2021
Dharmapuri,66160,15-04-2021
Dindigul,99468,15-04-2021
Erode,97298,15-04-2021
Kallakurichi,44258,15-04-2021
Kancheepuram,50028,15-04-2021
Kanniyakumari,86022,15-04-2021
Karur,45007,15-04-2021
Krishnagiri,105011,15-04-2021
Madurai,173769,15-04-2021
Nagapattinam,43524,15-04-2021
Namakkal,109562,15-04-2021
The Nilgiris,99041,15-04-2021
Perambalur,26281,15-04-2021
Pudukkottai,59498,15-04-2021
Ramanathapuram,51821,15-04-2021
Ranipet,33055,15-04-2021
Salem,264231,15-04-2021
Sivagangai,50085,15-04-2021
Tenkasi,46990,15-04-2021
Thanjavur,109040,15-04-2021
Theni,44403,15-04-2021
Thoothukudi,56153,15-04-2021
Tiruchirapalli,158473,15-04-2021
Tirunelveli,55704,15-04-2021
Tirupathur,51163,15-04-2021
Tiruppur,102877,15-04-2021
Tiruvallur,129054,15-04-2021
Tiruvannamalai,61734,15-04-2021
Tiruvarur,28742,15-04-2021
Vellore,123357,15-04-2021
Villupuram,87182,15-04-2021
Virudhunagar,143245,15-04-2021
Ariyalur,51674,15-05-2021
Chengalpattu,295368,15-05-2021
Chennai,1686632,15-05-2021
Coimbatore,471032,15-05-2021
Cuddalore,166279,15-05-2021
Dharmapuri,101582,15-05-2021
Dindigul,159707,15-05-2021
Erode,159894,15-05-2021
Kallakurichi,67254,15-05-2021
Kancheepuram,81605,15-05-2021
Kanniyakumari,135998,15-05-2021
Karur,69903,15-05-2021
Krishnagiri,162446,15-05-2021
Madurai,264046,15-05-2021
Nagapattinam,68927,15-05-2021
Namakkal,172908,15-05-2021
The Nilgiris,162550,15-05-2021
Perambalur,38764,15-05-2021
Pudukkottai,97086,15-05-2021
Ramanathapuram,82303,15-05-2021
Ranipet,54564,15-05-2021
Salem,392841,15-05-2021
Sivagangai,80667,15-05-2021
Tenkasi,73026,15-05-2021
Thanjavur,161733,15-05-2021
Theni,67788,15-05-2021
Thoothukudi,93632,15-05-2021
Tiruchirapalli,246788,15-05-2021
Tirunelveli,87986,15-05-2021
Tirupathur,76641,15-05-2021
Tiruppur,157722,15-05-2021
Tiruvallur,210537,15-05-2021
Tiruvannamalai,95097,15-05-2021
Tiruvarur,54319,15-05-2021
Vellore,185778,15-05-2021
Villupuram,123483,15-05-2021
Virudhunagar,220182,15-05-2021
Ariyalur,34001,16-04-2021
Chengalpattu,190215,16-04-2021
Chennai,1113158,16-04-2021
Coimbatore,316406,16-04-2021
Cuddalore,109732,16-04-2021
Dharmapuri,68962,16-04-2021
Dindigul,102398,16-04-2021
Erode,99088,16-04-2021
Kallakurichi,46601,16-04-2021
Kancheepuram,53228,16-04-2021
Kanniyakumari,88554,16-04-2021
Karur,46094,16-04-2021
Krishnagiri,107629,16-04-2021
Madurai,180855,16-04-2021
Nagapattinam,45799,16-04-2021
Namakkal,113981,16-04-2021
The Nilgiris,100368,16-04-2021
Perambalur,27662,16-04-2021
Pudukkottai,62621,16-04-2021
Ramanathapuram,54567,16-04-2021
Ranipet,35319,16-04-2021
Salem,274240,16-04-2021
Sivagangai,53763,16-04-2021
Tenkasi,49262,16-04-2021
Thanjavur,114240,16-04-2021
Theni,47287,16-04-2021
Thoothukudi,59766,16-04-2021
Tiruchirapalli,171353,16-04-2021
Tirunelveli,58173,16-04-2021
Tirupathur,56377,16-04-2021
Tiruppur,106172,16-04-2021
Tiruvallur,138386,16-04-2021
Tiruvannamalai,66221,16-04-2021
Tiruvarur,30683,16-04-2021
Vellore,131289,16-04-2021
Villupuram,87715,16-04-2021
Virudhunagar,149959,16-04-2021
Ariyalur,52059,16-05-2021
Chengalpattu,295936,16-05-2021
Chennai,1697944,16-05-2021
Coimbatore,471316,16-05-2021
Cuddalore,166735,16-05-2021
Dharmapuri,101697,16-05-2021
Dindigul,159834,16-05-2021
Erode,159923,16-05-2021
Kallakurichi,67460,16-05-2021
Kancheepuram,82074,16-05-2021
Kanniyakumari,136555,16-05-2021
Karur,69913,16-05-2021
Krishnagiri,163446,16-05-2021
Madurai,264526,16-05-2021
Nagapattinam,68991,16-05-2021
Namakkal,173223,16-05-2021
The Nilgiris,162969,16-05-2021
Perambalur,38816,16-05-2021
Pudukkottai,97305,16-05-2021
Ramanathapuram,82456,16-05-2021
Ranipet,54657,16-05-2021
Salem,393084,16-05-2021
Sivagangai,80805,16-05-2021
Tenkasi,73551,16-05-2021
Thanjavur,162095,16-05-2021
Theni,67812,16-05-2021
Thoothukudi,94287,16-05-2021
Tiruchirapalli,246908,16-05-2021
Tirunelveli,88042,16-05-2021
Tirupathur,76738,16-05-2021
Tiruppur,157799,16-05-2021
Tiruvallur,211797,16-05-2021
Tiruvannamalai,95194,16-05-2021
Tiruvarur,54392,16-05-2021
Vellore,186223,16-05-2021
Villupuram,123739,16-05-2021
Virudhunagar,220242,16-05-2021
Ariyalur,34635,17-04-2021
Chengalpattu,194051,17-04-2021
Chennai,1151618,17-04-2021
Coimbatore,322174,17-04-2021
Cuddalore,112714,17-04-2021
Dharmapuri,70858,17-04-2021
Dindigul,104066,17-04-2021
Erode,101619,17-04-2021
Kallakurichi,47436,17-04-2021
Kancheepuram,54809,17-04-2021
Kanniyakumari,90132,17-04-2021
Karur,46230,17-04-2021
Krishnagiri,109934,17-04-2021
Madurai,182828,17-04-2021
Nagapattinam,47031,17-04-2021
Namakkal,115083,17-04-2021
The Nilgiris,103930,17-04-2021
Perambalur,28345,17-04-2021
Pudukkottai,64659,17-04-2021
Ramanathapuram,55272,17-04-2021
Ranipet,36144,17-04-2021
Salem,279480,17-04-2021
Sivagangai,54826,17-04-2021
Tenkasi,49414,17-04-2021
Thanjavur,116254,17-04-2021
Theni,48539,17-04-2021
Thoothukudi,61349,17-04-2021
Tiruchirapalli,175691,17-04-2021
Tirunelveli,58370,17-04-2021
Tirupathur,56658,17-04-2021
Tiruppur,107228,17-04-2021
Tiruvallur,143129,17-04-2021
Tiruvannamalai,68513,17-04-2021
Tiruvarur,34202,17-04-2021
Vellore,135770,17-04-2021
Villupuram,88037,17-04-2021
Virudhunagar,154445,17-04-2021
Ariyalur,53003,17-05-2021
Chengalpattu,297447,17-05-2021
Chennai,1717154,17-05-2021
Coimbatore,471970,17-05-2021
Cuddalore,168320,17-05-2021
Dharmapuri,103187,17-05-2021
Dindigul,160743,17-05-2021
Erode,160991,17-05-2021
Kallakurichi,68191,17-05-2021
Kancheepuram,83003,17-05-2021
Kanniyakumari,138225,17-05-2021
Karur,70649,17-05-2021
Krishnagiri,164639,17-05-2021
Madurai,266212,17-05-2021
Nagapattinam,70197,17-05-2021
Namakkal,174315,17-05-2021
The Nilgiris,163923,17-05-2021
Perambalur,39111,17-05-2021
Pudukkottai,98486,17-05-2021
Ramanathapuram,83087,17-05-2021
Ranipet,55163,17-05-2021
Salem,396538,17-05-2021
Sivagangai,81826,17-05-2021
Tenkasi,74554,17-05-2021
Thanjavur,164114,17-05-2021
Theni,68306,17-05-2021
Thoothukudi,95757,17-05-2021
Tiruchirapalli,248153,17-05-2021
Tirunelveli,88943,17-05-2021
Tirupathur,77327,17-05-2021
Tiruppur,159631,17-05-2021
Tiruvallur,213713,17-05-2021
Tiruvannamalai,96515,17-05-2021
Tiruvarur,55011,17-05-2021
Vellore,187851,17-05-2021
Villupuram,125608,17-05-2021
Virudhunagar,221781,17-05-2021
Ariyalur,34766,18-04-2021
Chengalpattu,195005,18-04-2021
Chennai,1165968,18-04-2021
Coimbatore,322829,18-04-2021
Cuddalore,113161,18-04-2021
Dharmapuri,71238,18-04-2021
Dindigul,104817,18-04-2021
Erode,101892,18-04-2021
Kallakurichi,47495,18-04-2021
Kancheepuram,55052,18-04-2021
Kanniyakumari,90504,18-04-2021
Karur,46240,18-04-2021
Krishnagiri,110031,18-04-2021
Madurai,183585,18-04-2021
Nagapattinam,47206,18-04-2021
Namakkal,115094,18-04-2021
The Nilgiris,104194,18-04-2021
Perambalur,28464,18-04-2021
Pudukkottai,65169,18-04-2021
Ramanathapuram,55597,18-04-2021
Ranipet,36211,18-04-2021
Salem,279933,18-04-2021
Sivagangai,54945,18-04-2021
Tenkasi,49459,18-04-2021
Thanjavur,116537,18-04-2021
Theni,48828,18-04-2021
Thoothukudi,61548,18-04-2021
Tiruchirapalli,175825,18-04-2021
Tirunelveli,58388,18-04-2021
Tirupathur,56658,18-04-2021
Tiruppur,107369,18-04-2021
Tiruvallur,143900,18-04-2021
Tiruvannamalai,68664,18-04-2021
Tiruvarur,34512,18-04-2021
Vellore,136163,18-04-2021
Villupuram,88831,18-04-2021
Virudhunagar,155065,18-04-2021
Ariyalur,53778,18-05-2021
Chengalpattu,298484,18-05-2021
Chennai,1735248,18-05-2021
Coimbatore,472472,18-05-2021
Cuddalore,169083,18-05-2021
Dharmapuri,104097,18-05-2021
Dindigul,162541,18-05-2021
Erode,162144,18-05-2021
Kallakurichi,68628,18-05-2021
Kancheepuram,83575,18-05-2021
Kanniyakumari,138629,18-05-2021
Karur,71247,18-05-2021
Krishnagiri,166064,18-05-2021
Madurai,267632,18-05-2021
Nagapattinam,71065,18-05-2021
Namakkal,174945,18-05-2021
The Nilgiris,164916,18-05-2021
Perambalur,39268,18-05-2021
Pudukkottai,99451,18-05-2021
Ramanathapuram,83706,18-05-2021
Ranipet,55690,18-05-2021
Salem,398750,18-05-2021
Sivagangai,82605,18-05-2021
Tenkasi,75192,18-05-2021
Thanjavur,164994,18-05-2021
Theni,68810,18-05-2021
Thoothukudi,96954,18-05-2021
Tiruchirapalli,249519,18-05-2021
Tirunelveli,89626,18-05-2021
Tirupathur,77883,18-05-2021
Tiruppur,160148,18-05-2021
Tiruvallur,215270,18-05-2021
Tiruvannamalai,97404,18-05-2021
Tiruvarur,55438,18-05-2021
Vellore,188819,18-05-2021
Villupuram,126660,18-05-2021
Virudhunagar,223000,18-05-2021
Ariyalur,35068,19-04-2021
Chengalpattu,197145,19-04-2021
Chennai,1194580,19-04-2021
Coimbatore,325289,19-04-2021
Cuddalore,114784,19-04-2021
Dharmapuri,72103,19-04-2021
Dindigul,107482,19-04-2021
Erode,103840,19-04-2021
Kallakurichi,48110,19-04-2021
Kancheepuram,56061,19-04-2021
Kanniyakumari,92023,19-04-2021
Karur,46499,19-04-2021
Krishnagiri,111746,19-04-2021
Madurai,184540,19-04-2021
Nagapattinam,48256,19-04-2021
Namakkal,115709,19-04-2021
The Nilgiris,105259,19-04-2021
Perambalur,29085,19-04-2021
Pudukkottai,66712,19-04-2021
Ramanathapuram,56799,19-04-2021
Ranipet,37188,19-04-2021
Salem,283583,19-04-2021
Sivagangai,55727,19-04-2021
Tenkasi,50436,19-04-2021
Thanjavur,117848,19-04-2021
Theni,49365,19-04-2021
Thoothukudi,62711,19-04-2021
Tiruchirapalli,178549,19-04-2021
Tirunelveli,58890,19-04-2021
Tirupathur,56762,19-04-2021
Tiruppur,108143,19-04-2021
Tiruvallur,146661,19-04-2021
Tiruvannamalai,69579,19-04-2021
Tiruvarur,35435,19-04-2021
Vellore,139689,19-04-2021
Villupuram,89151,19-04-2021
Virudhunagar,156341,19-04-2021
Ariyalur,54593,19-05-2021
Chengalpattu,299651,19-05-2021
Chennai,1756006,19-05-2021
Coimbatore,473019,19-05-2021
Cuddalore,169414,19-05-2021
Dharmapuri,104652,19-05-2021
Dindigul,163953,19-05-2021
Erode,162669,19-05-2021
Kallakurichi,68841,19-05-2021
Kancheepuram,84280,19-05-2021
Kanniyakumari,138917,19-05-2021
Karur,71647,19-05-2021
Krishnagiri,166807,19-05-2021
Madurai,268987,19-05-2021
Nagapattinam,71463,19-05-2021
Namakkal,175136,19-05-2021
The Nilgiris,164970,19-05-2021
Perambalur,39763,19-05-2021
Pudukkottai,100363,19-05-2021
Ramanathapuram,84577,19-05-2021
Ranipet,56145,19-05-2021
Salem,400684,19-05-2021
Sivagangai,83204,19-05-2021
Tenkasi,75678,19-05-2021
Thanjavur,165179,19-05-2021
Theni,69422,19-05-2021
Thoothukudi,98189,19-05-2021
Tiruchirapalli,250833,19-05-2021
Tirunelveli,90303,19-05-2021
Tirupathur,78525,19-05-2021
Tiruppur,160181,19-05-2021
Tiruvallur,216859,19-05-2021
Tiruvannamalai,98141,19-05-2021
Tiruvarur,56040,19-05-2021
Vellore,189349,19-05-2021
Villupuram,127410,19-05-2021
Virudhunagar,223640,19-05-2021
Ariyalur,35364,20-04-2021
Chengalpattu,198752,20-04-2021
Chennai,1221552,20-04-2021
Coimbatore,327571,20-04-2021
Cuddalore,115931,20-04-2021
Dharmapuri,72482,20-04-2021
Dindigul,109136,20-04-2021
Erode,105984,20-04-2021
Kallakurichi,48397,20-04-2021
Kancheepuram,56776,20-04-2021
Kanniyakumari,92435,20-04-2021
Karur,46805,20-04-2021
Krishnagiri,113067,20-04-2021
Madurai,185286,20-04-2021
Nagapattinam,48840,20-04-2021
Namakkal,116292,20-04-2021
The Nilgiris,105933,20-04-2021
Perambalur,29589,20-04-2021
Pudukkottai,67616,20-04-2021
Ramanathapuram,57745,20-04-2021
Ranipet,38247,20-04-2021
Salem,286215,20-04-2021
Sivagangai,56410,20-04-2021
Tenkasi,51179,20-04-2021
Thanjavur,118865,20-04-2021
Theni,49773,20-04-2021
Thoothukudi,63402,20-04-2021
Tiruchirapalli,180407,20-04-2021
Tirunelveli,59768,20-04-2021
Tirupathur,56880,20-04-2021
Tiruppur,108452,20-04-2021
Tiruvallur,148028,20-04-2021
Tiruvannamalai,70927,20-04-2021
Tiruvarur,35871,20-04-2021
Vellore,141665,20-04-2021
Villupuram,89313,20-04-2021
Virudhunagar,157150,20-04-2021
Ariyalur,55090,20-05-2021
Chengalpattu,300504,20-05-2021
Chennai,1778916,20-05-2021
Coimbatore,473529,20-05-2021
Cuddalore,169841,20-05-2021
Dharmapuri,105311,20-05-2021
Dindigul,164870,20-05-2021
Erode,162737,20-05-2021
Kallakurichi,69012,20-05-2021
Kancheepuram,84616,20-05-2021
Kanniyakumari,140431,20-05-2021
Karur,71974,20-05-2021
Krishnagiri,167688,20-05-2021
Madurai,270443,20-05-2021
Nagapattinam,71554,20-05-2021
Namakkal,175239,20-05-2021
The Nilgiris,165042,20-05-2021
Perambalur,40119,20-05-2021
Pudukkottai,101462,20-05-2021
Ramanathapuram,85433,20-05-2021
Ranipet,56630,20-05-2021
Salem,402567,20-05-2021
Sivagangai,83826,20-05-2021
Tenkasi,75979,20-05-2021
Thanjavur,165682,20-05-2021
Theni,69844,20-05-2021
Thoothukudi,99429,20-05-2021
Tiruchirapalli,251709,20-05-2021
Tirunelveli,90976,20-05-2021
Tirupathur,79132,20-05-2021
Tiruppur,160205,20-05-2021
Tiruvallur,218465,20-05-2021
Tiruvannamalai,98731,20-05-2021
Tiruvarur,56578,20-05-2021
Vellore,189741,20-05-2021
Villupuram,128058,20-05-2021
Virudhunagar,224428,20-05-2021
Ariyalur,35464,21-04-2021
Chengalpattu,200250,21-04-2021
Chennai,1242476,21-04-2021
Coimbatore,329324,21-04-2021
Cuddalore,117347,21-04-2021
Dharmapuri,74090,21-04-2021
Dindigul,110113,21-04-2021
Erode,107702,21-04-2021
Kallakurichi,48630,21-04-2021
Kancheepuram,57329,21-04-2021
Kanniyakumari,92810,21-04-2021
Karur,47234,21-04-2021
Krishnagiri,114201,21-04-2021
Madurai,185988,21-04-2021
Nagapattinam,49574,21-04-2021
Namakkal,117950,21-04-2021
The Nilgiris,106101,21-04-2021
Perambalur,29886,21-04-2021
Pudukkottai,68459,21-04-2021
Ramanathapuram,58517,21-04-2021
Ranipet,39341,21-04-2021
Salem,290821,21-04-2021
Sivagangai,57142,21-04-2021
Tenkasi,51714,21-04-2021
Thanjavur,119502,21-04-2021
Theni,50096,21-04-2021
Thoothukudi,63966,21-04-2021
Tiruchirapalli,181906,21-04-2021
Tirunelveli,60557,21-04-2021
Tirupathur,57040,21-04-2021
Tiruppur,108482,21-04-2021
Tiruvallur,149267,21-04-2021
Tiruvannamalai,71756,21-04-2021
Tiruvarur,36610,21-04-2021
Vellore,144979,21-04-2021
Villupuram,89439,21-04-2021
Virudhunagar,157872,21-04-2021
Ariyalur,55592,21-05-2021
Chengalpattu,301055,21-05-2021
Chennai,1801335,21-05-2021
Coimbatore,473697,21-05-2021
Cuddalore,170620,21-05-2021
Dharmapuri,105772,21-05-2021
Dindigul,165424,21-05-2021
Erode,163680,21-05-2021
Kallakurichi,69093,21-05-2021
Kancheepuram,85279,21-05-2021
Kanniyakumari,140510,21-05-2021
Karur,72884,21-05-2021
Krishnagiri,168352,21-05-2021
Madurai,271817,21-05-2021
Nagapattinam,71608,21-05-2021
Namakkal,176251,21-05-2021
The Nilgiris,165042,21-05-2021
Perambalur,40471,21-05-2021
Pudukkottai,102550,21-05-2021
Ramanathapuram,86262,21-05-2021
Ranipet,56989,21-05-2021
Salem,404940,21-05-2021
Sivagangai,84250,21-05-2021
Tenkasi,76029,21-05-2021
Thanjavur,166921,21-05-2021
Theni,70244,21-05-2021
Thoothukudi,100710,21-05-2021
Tiruchirapalli,252766,21-05-2021
Tirunelveli,91656,21-05-2021
Tirupathur,79917,21-05-2021
Tiruppur,160782,21-05-2021
Tiruvallur,219834,21-05-2021
Tiruvannamalai,99488,21-05-2021
Tiruvarur,56865,21-05-2021
Vellore,190211,21-05-2021
Villupuram,128635,21-05-2021
Virudhunagar,225004,21-05-2021
Ariyalur,35919,22-04-2021
Chengalpattu,203899,22-04-2021
Chennai,1267891,22-04-2021
Coimbatore,332202,22-04-2021
Cuddalore,119604,22-04-2021
Dharmapuri,75516,22-04-2021
Dindigul,114063,22-04-2021
Erode,109882,22-04-2021
Kallakurichi,49059,22-04-2021
Kancheepuram,58106,22-04-2021
Kanniyakumari,94743,22-04-2021
Karur,48146,22-04-2021
Krishnagiri,116488,22-04-2021
Madurai,189203,22-04-2021
Nagapattinam,50102,22-04-2021
Namakkal,121496,22-04-2021
The Nilgiris,110440,22-04-2021
Perambalur,30230,22-04-2021
Pudukkottai,70328,22-04-2021
Ramanathapuram,59424,22-04-2021
Ranipet,40183,22-04-2021
Salem,297254,22-04-2021
Sivagangai,57990,22-04-2021
Tenkasi,52071,22-04-2021
Thanjavur,121509,22-04-2021
Theni,50777,22-04-2021
Thoothukudi,64943,22-04-2021
Tiruchirapalli,184773,22-04-2021
Tirunelveli,61399,22-04-2021
Tirupathur,57953,22-04-2021
Tiruppur,111381,22-04-2021
Tiruvallur,153032,22-04-2021
Tiruvannamalai,72881,22-04-2021
Tiruvarur,37118,22-04-2021
Vellore,149983,22-04-2021
Villupuram,91508,22-04-2021
Virudhunagar,161658,22-04-2021
Ariyalur,56176,22-05-2021
Chengalpattu,302646,22-05-2021
Chennai,1823477,22-05-2021
Coimbatore,477330,22-05-2021
Cuddalore,171502,22-05-2021
Dharmapuri,106464,22-05-2021
Dindigul,167172,22-05-2021
Erode,165167,22-05-2021
Kallakurichi,70092,22-05-2021
Kancheepuram,86018,22-05-2021
Kanniyakumari,143041,22-05-2021
Karur,73562,22-05-2021
Krishnagiri,169050,22-05-2021
Madurai,273476,22-05-2021
Nagapattinam,72451,22-05-2021
Namakkal,177346,22-05-2021
The Nilgiris,165943,22-05-2021
Perambalur,40731,22-05-2021
Pudukkottai,103619,22-05-2021
Ramanathapuram,87175,22-05-2021
Ranipet,57427,22-05-2021
Salem,406340,22-05-2021
Sivagangai,85230,22-05-2021
Tenkasi,76332,22-05-2021
Thanjavur,168495,22-05-2021
Theni,70572,22-05-2021
Thoothukudi,102050,22-05-2021
Tiruchirapalli,254014,22-05-2021
Tirunelveli,92135,22-05-2021
Tirupathur,80475,22-05-2021
Tiruppur,163174,22-05-2021
Tiruvallur,221008,22-05-2021
Tiruvannamalai,100129,22-05-2021
Tiruvarur,57353,22-05-2021
Vellore,190523,22-05-2021
Villupuram,129242,22-05-2021
Virudhunagar,225422,22-05-2021
Ariyalur,36713,23-04-2021
Chengalpattu,208708,23-04-2021
Chennai,1293377,23-04-2021
Coimbatore,338918,23-04-2021
Cuddalore,122168,23-04-2021
Dharmapuri,77050,23-04-2021
Dindigul,116949,23-04-2021
Erode,114058,23-04-2021
Kallakurichi,49781,23-04-2021
Kancheepuram,59150,23-04-2021
Kanniyakumari,97946,23-04-2021
Karur,49181,23-04-2021
Krishnagiri,118412,23-04-2021
Madurai,195723,23-04-2021
