District,Total,Date,Population,Vac,,,,,
The Nilgiris,189140,01-06-2021,"24,71,222",7653.70331,,,,,
Perambalur,54485,01-06-2021,"17,21,179",3165.562675,,,,,
Pudukkottai,140851,01-06-2021,"5,64,511",24950.97527,,,,,
Ramanathapuram,114259,01-06-2021,"19,18,725",5954.944038,,,,,
Ranipet,78748,01-06-2021,"13,37,560",5887.436825,,,,,
Salem,492671,01-06-2021,"12,10,277",40707.29263,,,,,
Sivagangai,115763,01-06-2021,"34,80,008",3326.515341,,,,,
Tenkasi,108091,01-06-2021,"13,41,250",8058.974837,,,,,
Thanjavur,213460,01-06-2021,"14,07,627",15164.52867,,,,,
Theni,102498,01-06-2021,"27,13,858",3776.837255,,,,,
Thoothukudi,155179,01-06-2021,"12,43,684",12477.36563,,,,,
Tiruchirapalli,325807,01-06-2021,"16,65,253",19565.01505,,,,,
Tirunelveli,142276,01-06-2021,"24,02,781",5921.305354,,,,,
Tirupathur,113677,01-06-2021,"17,38,376",6539.264233,,,,,
Tiruppur,235317,01-06-2021,"11,11,812",21165.17901,,,,,
Tiruvallur,288365,01-06-2021,"37,25,697",7739.894039,,,,,
Tiruvannamalai,148711,01-06-2021,"12,68,094",11727.12748,,,,,
Tiruvarur,91475,01-06-2021,"24,68,965",3704.993793,,,,,
Vellore,222271,01-06-2021,"16,14,242",13769.37287,,,,,
Villupuram,163550,01-06-2021,"20,93,003",7814.131179,,,,,
Virudhunagar,274142,01-06-2021,"19,43,309",14106.96909,,,,,
Ariyalur,21830,02-04-2021,"7,52,481",2901.069927,,,,,
Chengalpattu,125183,02-04-2021,"25,56,244",4897.145969,,,,,
Chennai,790235,02-04-2021,"71,00,000",11130.07042,,,,,
Coimbatore,203106,02-04-2021,"34,72,578",5848.853503,,,,,
Cuddalore,75031,02-04-2021,"26,00,880",2884.831288,,,,,
Dharmapuri,50247,02-04-2021,"15,02,900",3343.336217,,,,,
Dindigul,65899,02-04-2021,"21,61,367",3048.950039,,,,,
Erode,69502,02-04-2021,"22,59,608",3075.843244,,,,,
Kallakurichi,32465,02-04-2021,"13,70,281",2369.222079,,,,,
Kancheepuram,36026,02-04-2021,"11,66,401",3088.646186,,,,,
Kanniyakumari,59578,02-04-2021,"18,63,178",3197.65476,,,,,
