District,Total,Date,Population,Vac,,,,,
Tiruchirapalli,122208,05-04-2021,"16,65,253",7338.704689,,,,,
Tirunelveli,41431,05-04-2021,"24,02,781",1724.293641,,,,,
Tirupathur,33856,05-04-2021,"17,38,376",1947.564854,,,,,
Tiruppur,74267,05-04-2021,"11,11,812",6679.816372,,,,,
Tiruvallur,97690,05-04-2021,"37,25,697",2622.059711,,,,,
Tiruvannamalai,48316,05-04-2021,"12,68,094",3810.12764,,,,,
Tiruvarur,22535,05-04-2021,"24,68,965",912.7306381,,,,,
Vellore,94093,05-04-2021,"16,14,242",5828.927757,,,,,
Villupuram,76269,05-04-2021,"20,93,003",3643.998599,,,,,
Virudhunagar,117326,05-04-2021,"19,43,309",6037.434088,,,,,
Ariyalur,43795,05-05-2021,"7,52,481",5820.080507,,,,,
Chengalpattu,264464,05-05-2021,"25,56,244",10345.80423,,,,,
Chennai,1524158,05-05-2021,"71,00,000",21467.01408,,,,,
Coimbatore,425934,05-05-2021,"34,72,578",12265.64241,,,,,
Cuddalore,148588,05-05-2021,"26,00,880",5712.98945,,,,,
Dharmapuri,89917,05-05-2021,"15,02,900",5982.899727,,,,,
Dindigul,141457,05-05-2021,"21,61,367",6544.79318,,,,,
Erode,144383,05-05-2021,"22,59,608",6389.736627,,,,,
Kallakurichi,58212,05-05-2021,"13,70,281",4248.179753,,,,,
Kancheepuram,70329,05-05-2021,"11,66,401",6029.57302,,,,,
Kanniyakumari,123051,05-05-2021,"18,63,178",6604.360936,,,,,
Karur,59454,05-05-2021,"10,76,588",5522.446841,,,,,
Krishnagiri,138442,05-05-2021,"18,83,731",7349.350836,,,,,
Madurai,234767,05-05-2021,"39,91,038",5882.354415,,,,,
Nagapattinam,60793,05-05-2021,"16,14,069",3766.44369,,,,,
Namakkal,146458,05-05-2021,"7,35,071",19924.33384,,,,,
The Nilgiris,137330,05-05-2021,"24,71,222",5557.169692,,,,,
Perambalur,35351,05-05-2021,"17,21,179",2053.882833,,,,,
Pudukkottai,85449,05-05-2021,"5,64,511",15136.81753,,,,,
Ramanathapuram,73502,05-05-2021,"19,18,725",3830.773039,,,,,
Ranipet,48616,05-05-2021,"13,37,560",3634.678071,,,,,
Salem,357970,05-05-2021,"12,10,277",29577.52647,,,,,
Sivagangai,69603,05-05-2021,"34,80,008",2000.081609,,,,,
Tenkasi,64064,05-05-2021,"13,41,250",4776.439888,,,,,
Thanjavur,145810,05-05-2021,"14,07,627",10358.568,,,,,
Theni,61014,05-05-2021,"27,13,858",2248.238486,,,,,
Thoothukudi,82568,05-05-2021,"12,43,684",6638.985466,,,,,
Tiruchirapalli,221791,05-05-2021,"16,65,253",13318.75697,,,,,
Tirunelveli,76441,05-05-2021,"24,02,781",3181.355271,,,,,
Tirupathur,69942,05-05-2021,"17,38,376",4023.410355,,,,,
Tiruppur,138498,05-05-2021,"11,11,812",12456.96215,,,,,
Tiruvallur,190187,05-05-2021,"37,25,697",5104.736107,,,,,
Tiruvannamalai,85132,05-05-2021,"12,68,094",6713.382446,,,,,
Tiruvarur,47606,05-05-2021,"24,68,965",1928.176382,,,,,
Vellore,172315,05-05-2021,"16,14,242",10674.6696,,,,,
Villupuram,107011,05-05-2021,"20,93,003",5112.797258,,,,,
Virudhunagar,192811,05-05-2021,"19,43,309",9921.788043,,,,,
Ariyalur,22764,06-04-2021,"7,52,481",3025.192663,,,,,
Chengalpattu,132630,06-04-2021,"25,56,244",5188.471836,,,,,
Chennai,844910,06-04-2021,"71,00,000",11900.14085,,,,,
Coimbatore,209077,06-04-2021,"34,72,578",6020.800685,,,,,
Cuddalore,79555,06-04-2021,"26,00,880",3058.772415,,,,,
Dharmapuri,51565,06-04-2021,"15,02,900",3431.033336,,,,,
Dindigul,68899,06-04-2021,"21,61,367",3187.751085,,,,,
Erode,72847,06-04-2021,"22,59,608",3223.87777,,,,,
Kallakurichi,33830,06-04-2021,"13,70,281",2468.836684,,,,,
Kancheepuram,37801,06-04-2021,"11,66,401",3240.823696,,,,,
Kanniyakumari,62662,06-04-2021,"18,63,178",3363.178397,,,,,
Karur,35896,06-04-2021,"10,76,588",3334.237424,,,,,
Krishnagiri,85795,06-04-2021,"18,83,731",4554.525036,,,,,
Madurai,132937,06-04-2021,"39,91,038",3330.887854,,,,,
Nagapattinam,33094,06-04-2021,"16,14,069",2050.346051,,,,,
Namakkal,84655,06-04-2021,"7,35,071",11516.57459,,,,,
The Nilgiris,76776,06-04-2021,"24,71,222",3106.803031,,,,,
Perambalur,21381,06-04-2021,"17,21,179",1242.22989,,,,,
Pudukkottai,44903,06-04-2021,"5,64,511",7954.317985,,,,,
Ramanathapuram,35459,06-04-2021,"19,18,725",1848.050137,,,,,
Ranipet,24358,06-04-2021,"13,37,560",1821.077185,,,,,
Salem,203547,06-04-2021,"12,10,277",16818.216,,,,,
Sivagangai,38790,06-04-2021,"34,80,008",1114.65261,,,,,
Tenkasi,35511,06-04-2021,"13,41,250",2647.604846,,,,,
Thanjavur,83703,06-04-2021,"14,07,627",5946.390628,,,,,
Theni,29310,06-04-2021,"27,13,858",1080.012292,,,,,
Thoothukudi,39552,06-04-2021,"12,43,684",3180.229061,,,,,
Tiruchirapalli,119288,06-04-2021,"16,65,253",7163.355959,,,,,
Tirunelveli,40258,06-04-2021,"24,02,781",1675.47521,,,,,
Tirupathur,33086,06-04-2021,"17,38,376",1903.270639,,,,,
Tiruppur,72364,06-04-2021,"11,11,812",6508.654341,,,,,
Tiruvallur,95673,06-04-2021,"37,25,697",2567.92219,,,,,
Tiruvannamalai,47356,06-04-2021,"12,68,094",3734.423473,,,,,
Tiruvarur,22195,06-04-2021,"24,68,965",898.9596855,,,,,
Vellore,92254,06-04-2021,"16,14,242",5715.004318,,,,,
Villupuram,75232,06-04-2021,"20,93,003",3594.452564,,,,,
Virudhunagar,115180,06-04-2021,"19,43,309",5927.003889,,,,,
Ariyalur,44888,06-05-2021,"7,52,481",5965.333344,,,,,
Chengalpattu,268123,06-05-2021,"25,56,244",10488.94393,,,,,
Chennai,1545478,06-05-2021,"71,00,000",21767.29577,,,,,
Coimbatore,430003,06-05-2021,"34,72,578",12382.81761,,,,,
Cuddalore,150916,06-05-2021,"26,00,880",5802.497616,,,,,
Dharmapuri,91675,06-05-2021,"15,02,900",6099.873578,,,,,
Dindigul,143841,06-05-2021,"21,61,367",6655.093744,,,,,
Erode,146489,06-05-2021,"22,59,608",6482.938634,,,,,
Kallakurichi,59248,06-05-2021,"13,70,281",4323.784684,,,,,
Kancheepuram,71614,06-05-2021,"11,66,401",6139.740964,,,,,
Kanniyakumari,123361,06-05-2021,"18,63,178",6620.999175,,,,,
Karur,60390,06-05-2021,"10,76,588",5609.388178,,,,,
Krishnagiri,141281,06-05-2021,"18,83,731",7500.062376,,,,,
Madurai,239343,06-05-2021,"39,91,038",5997.011304,,,,,
Nagapattinam,61765,06-05-2021,"16,14,069",3826.664164,,,,,
Namakkal,151537,06-05-2021,"7,35,071",20615.2875,,,,,
The Nilgiris,144060,06-05-2021,"24,71,222",5829.504593,,,,,
Perambalur,35709,06-05-2021,"17,21,179",2074.682529,,,,,
Pudukkottai,86915,06-05-2021,"5,64,511",15396.51132,,,,,
Ramanathapuram,74630,06-05-2021,"19,18,725",3889.562079,,,,,
Ranipet,49139,06-05-2021,"13,37,560",3673.77912,,,,,
Salem,364469,06-05-2021,"12,10,277",30114.51098,,,,,
Sivagangai,70997,06-05-2021,"34,80,008",2040.138988,,,,,
Tenkasi,64975,06-05-2021,"13,41,250",4844.361603,,,,,
Thanjavur,148357,06-05-2021,"14,07,627",10539.51082,,,,,
Theni,61677,06-05-2021,"27,13,858",2272.668651,,,,,
Thoothukudi,83663,06-05-2021,"12,43,684",6727.030339,,,,,
Tiruchirapalli,224971,06-05-2021,"16,65,253",13509.71894,,,,,
Tirunelveli,77637,06-05-2021,"24,02,781",3231.130927,,,,,
Tirupathur,70764,06-05-2021,"17,38,376",4070.695868,,,,,
Tiruppur,140674,06-05-2021,"11,11,812",12652.67869,,,,,
Tiruvallur,192741,06-05-2021,"37,25,697",5173.287039,,,,,
Tiruvannamalai,86320,06-05-2021,"12,68,094",6807.066353,,,,,
Tiruvarur,47873,06-05-2021,"24,68,965",1938.99063,,,,,
Vellore,175704,06-05-2021,"16,14,242",10884.61334,,,,,
Villupuram,109733,06-05-2021,"20,93,003",5242.849628,,,,,
Virudhunagar,195782,06-05-2021,"19,43,309",10074.6716,,,,,
Ariyalur,23022,07-04-2021,"7,52,481",3059.479243,,,,,
Chengalpattu,136391,07-04-2021,"25,56,244",5335.601766,,,,,
Chennai,859997,07-04-2021,"71,00,000",12112.6338,,,,,
Coimbatore,210798,07-04-2021,"34,72,578",6070.360407,,,,,
Cuddalore,81335,07-04-2021,"26,00,880",3127.21079,,,,,
Dharmapuri,52007,07-04-2021,"15,02,900",3460.443143,,,,,
Dindigul,70189,07-04-2021,"21,61,367",3247.435535,,,,,
Erode,74568,07-04-2021,"22,59,608",3300.041423,,,,,
Kallakurichi,34570,07-04-2021,"13,70,281",2522.840206,,,,,
Kancheepuram,38553,07-04-2021,"11,66,401",3305.29552,,,,,
Kanniyakumari,64074,07-04-2021,"18,63,178",3438.96289,,,,,
Karur,36568,07-04-2021,"10,76,588",3396.656846,,,,,
Krishnagiri,87525,07-04-2021,"18,83,731",4646.364051,,,,,
Madurai,135747,07-04-2021,"39,91,038",3401.295603,,,,,
Nagapattinam,33791,07-04-2021,"16,14,069",2093.528839,,,,,
Namakkal,85860,07-04-2021,"7,35,071",11680.50433,,,,,
The Nilgiris,78776,07-04-2021,"24,71,222",3187.734651,,,,,
Perambalur,21594,07-04-2021,"17,21,179",1254.605128,,,,,
Pudukkottai,46085,07-04-2021,"5,64,511",8163.702744,,,,,
Ramanathapuram,37104,07-04-2021,"19,18,725",1933.784154,,,,,
Ranipet,25032,07-04-2021,"13,37,560",1871.467448,,,,,
Salem,207909,07-04-2021,"12,10,277",17178.62936,,,,,
Sivagangai,39410,07-04-2021,"34,80,008",1132.468661,,,,,
Tenkasi,36010,07-04-2021,"13,41,250",2684.808947,,,,,
Thanjavur,85328,07-04-2021,"14,07,627",6061.833142,,,,,
Theni,30172,07-04-2021,"27,13,858",1111.775192,,,,,
Thoothukudi,40451,07-04-2021,"12,43,684",3252.514304,,,,,
Tiruchirapalli,122208,07-04-2021,"16,65,253",7338.704689,,,,,
Tirunelveli,41431,07-04-2021,"24,02,781",1724.293641,,,,,
Tirupathur,33856,07-04-2021,"17,38,376",1947.564854,,,,,
Tiruppur,74267,07-04-2021,"11,11,812",6679.816372,,,,,
Tiruvallur,97690,07-04-2021,"37,25,697",2622.059711,,,,,
Tiruvannamalai,48316,07-04-2021,"12,68,094",3810.12764,,,,,
Tiruvarur,22535,07-04-2021,"24,68,965",912.7306381,,,,,
Vellore,94093,07-04-2021,"16,14,242",5828.927757,,,,,
Villupuram,76269,07-04-2021,"20,93,003",3643.998599,,,,,
Virudhunagar,117326,07-04-2021,"19,43,309",6037.434088,,,,,
Ariyalur,45522,07-05-2021,"7,52,481",6049.587963,,,,,
Chengalpattu,270924,07-05-2021,"25,56,244",10598.51876,,,,,
Chennai,1567071,07-05-2021,"71,00,000",22071.42254,,,,,
Coimbatore,434652,07-05-2021,"34,72,578",12516.69509,,,,,
Cuddalore,152871,07-05-2021,"26,00,880",5877.664483,,,,,
Dharmapuri,93494,07-05-2021,"15,02,900",6220.906248,,,,,
Dindigul,146274,07-05-2021,"21,61,367",6767.661392,,,,,
Erode,147626,07-05-2021,"22,59,608",6533.257096,,,,,
Kallakurichi,60666,07-05-2021,"13,70,281",4427.267108,,,,,
Kancheepuram,72703,07-05-2021,"11,66,401",6233.105081,,,,,
Kanniyakumari,126463,07-05-2021,"18,63,178",6787.488903,,,,,
Karur,61191,07-05-2021,"10,76,588",5683.789899,,,,,
Krishnagiri,144194,07-05-2021,"18,83,731",7654.70229,,,,,
Madurai,242430,07-05-2021,"39,91,038",6074.359603,,,,,
Nagapattinam,63045,07-05-2021,"16,14,069",3905.966845,,,,,
Namakkal,155035,07-05-2021,"7,35,071",21091.1599,,,,,
The Nilgiris,146772,07-05-2021,"24,71,222",5939.24787,,,,,
Perambalur,36227,07-05-2021,"17,21,179",2104.778178,,,,,
Pudukkottai,88261,07-05-2021,"5,64,511",15634.94777,,,,,
Ramanathapuram,75784,07-05-2021,"19,18,725",3949.706185,,,,,
Ranipet,49787,07-05-2021,"13,37,560",3722.225545,,,,,
Salem,368246,07-05-2021,"12,10,277",30426.58829,,,,,
Sivagangai,72056,07-05-2021,"34,80,008",2070.569953,,,,,
Tenkasi,65835,07-05-2021,"13,41,250",4908.480895,,,,,
Thanjavur,149709,07-05-2021,"14,07,627",10635.55899,,,,,
Theni,62498,07-05-2021,"27,13,858",2302.920787,,,,,
Thoothukudi,84973,07-05-2021,"12,43,684",6832.362562,,,,,
Tiruchirapalli,227388,07-05-2021,"16,65,253",13654.86205,,,,,
Tirunelveli,79155,07-05-2021,"24,02,781",3294.307721,,,,,
Tirupathur,71732,07-05-2021,"17,38,376",4126.380024,,,,,
Tiruppur,144543,07-05-2021,"11,11,812",13000.66918,,,,,
Tiruvallur,195525,07-05-2021,"37,25,697",5248.011312,,,,,
Tiruvannamalai,87674,07-05-2021,"12,68,094",6913.840772,,,,,
Tiruvarur,48752,07-05-2021,"24,68,965",1974.592592,,,,,
Vellore,177885,07-05-2021,"16,14,242",11019.72319,,,,,
Villupuram,111967,07-05-2021,"20,93,003",5349.586217,,,,,
Virudhunagar,199477,07-05-2021,"19,43,309",10264.81121,,,,,
Ariyalur,23440,08-04-2021,"7,52,481",3115.028818,,,,,
Chengalpattu,140524,08-04-2021,"25,56,244",5497.284297,,,,,
Chennai,880000,08-04-2021,"71,00,000",12394.3662,,,,,
Coimbatore,216229,08-04-2021,"34,72,578",6226.757182,,,,,
Cuddalore,83523,08-04-2021,"26,00,880",3211.336163,,,,,
Dharmapuri,53016,08-04-2021,"15,02,900",3527.580012,,,,,
Dindigul,72878,08-04-2021,"21,61,367",3371.847539,,,,,
Erode,76682,08-04-2021,"22,59,608",3393.597474,,,,,
Kallakurichi,35428,08-04-2021,"13,70,281",2585.4551,,,,,
Kancheepuram,39361,08-04-2021,"11,66,401",3374.568437,,,,,
Kanniyakumari,65687,08-04-2021,"18,63,178",3525.535402,,,,,
Karur,37451,08-04-2021,"10,76,588",3478.675222,,,,,
Krishnagiri,89696,08-04-2021,"18,83,731",4761.614052,,,,,
Madurai,139355,08-04-2021,"39,91,038",3491.69815,,,,,
Nagapattinam,34587,08-04-2021,"16,14,069",2142.845194,,,,,
Namakkal,87684,08-04-2021,"7,35,071",11928.64363,,,,,
The Nilgiris,81060,08-04-2021,"24,71,222",3280.158561,,,,,
Perambalur,21985,08-04-2021,"17,21,179",1277.322115,,,,,
Pudukkottai,47240,08-04-2021,"5,64,511",8368.304603,,,,,
Ramanathapuram,38426,08-04-2021,"19,18,725",2002.684074,,,,,
Ranipet,25486,08-04-2021,"13,37,560",1905.409851,,,,,
Salem,213877,08-04-2021,"12,10,277",17671.73961,,,,,
Sivagangai,40847,08-04-2021,"34,80,008",1173.76167,,,,,
Tenkasi,36893,08-04-2021,"13,41,250",2750.643057,,,,,
Thanjavur,87810,08-04-2021,"14,07,627",6238.158262,,,,,
Theni,30976,08-04-2021,"27,13,858",1141.400913,,,,,
Thoothukudi,41730,08-04-2021,"12,43,684",3355.353932,,,,,
Tiruchirapalli,125851,08-04-2021,"16,65,253",7557.470246,,,,,
Tirunelveli,42537,08-04-2021,"24,02,781",1770.323637,,,,,
Tirupathur,35109,08-04-2021,"17,38,376",2019.643621,,,,,
Tiruppur,76760,08-04-2021,"11,11,812",6904.044928,,,,,
Tiruvallur,100442,08-04-2021,"37,25,697",2695.925085,,,,,
Tiruvannamalai,49548,08-04-2021,"12,68,094",3907.281321,,,,,
Tiruvarur,22928,08-04-2021,"24,68,965",928.6482392,,,,,
Vellore,94903,08-04-2021,"16,14,242",5879.106107,,,,,
Villupuram,77354,08-04-2021,"20,93,003",3695.83799,,,,,
Virudhunagar,119733,08-04-2021,"19,43,309",6161.294987,,,,,
Ariyalur,45705,08-05-2021,"7,52,481",6073.907514,,,,,
Chengalpattu,272788,08-05-2021,"25,56,244",10671.43825,,,,,
Chennai,1587454,08-05-2021,"71,00,000",22358.50704,,,,,
Coimbatore,436867,08-05-2021,"34,72,578",12580.48055,,,,,
Cuddalore,154533,08-05-2021,"26,00,880",5941.565932,,,,,
Dharmapuri,94328,08-05-2021,"15,02,900",6276.398962,,,,,
Dindigul,147198,08-05-2021,"21,61,367",6810.412114,,,,,
Erode,147907,08-05-2021,"22,59,608",6545.692881,,,,,
Kallakurichi,61557,08-05-2021,"13,70,281",4492.290267,,,,,
Kancheepuram,73592,08-05-2021,"11,66,401",6309.322437,,,,,
Kanniyakumari,126962,08-05-2021,"18,63,178",6814.2711,,,,,
Karur,62159,08-05-2021,"10,76,588",5773.703589,,,,,
Krishnagiri,146570,08-05-2021,"18,83,731",7780.834949,,,,,
Madurai,242653,08-05-2021,"39,91,038",6079.947122,,,,,
Nagapattinam,64036,08-05-2021,"16,14,069",3967.364468,,,,,
Namakkal,156199,08-05-2021,"7,35,071",21249.51195,,,,,
The Nilgiris,147330,08-05-2021,"24,71,222",5961.827792,,,,,
Perambalur,36558,08-05-2021,"17,21,179",2124.009182,,,,,
Pudukkottai,89351,08-05-2021,"5,64,511",15828.03524,,,,,
Ramanathapuram,76444,08-05-2021,"19,18,725",3984.104027,,,,,
Ranipet,50446,08-05-2021,"13,37,560",3771.494363,,,,,
Salem,370530,08-05-2021,"12,10,277",30615.30542,,,,,
Sivagangai,72843,08-05-2021,"34,80,008",2093.184843,,,,,
Tenkasi,66527,08-05-2021,"13,41,250",4960.074557,,,,,
Thanjavur,150322,08-05-2021,"14,07,627",10679.10746,,,,,
Theni,63108,08-05-2021,"27,13,858",2325.398013,,,,,
Thoothukudi,86015,08-05-2021,"12,43,684",6916.145902,,,,,
Tiruchirapalli,229069,08-05-2021,"16,65,253",13755.80768,,,,,
Tirunelveli,80445,08-05-2021,"24,02,781",3347.99551,,,,,
Tirupathur,72468,08-05-2021,"17,38,376",4168.71839,,,,,
Tiruppur,146291,08-05-2021,"11,11,812",13157.89,,,,,
Tiruvallur,197545,08-05-2021,"37,25,697",5302.229355,,,,,
Tiruvannamalai,88707,08-05-2021,"12,68,094",6995.30161,,,,,
Tiruvarur,48763,08-05-2021,"24,68,965",1975.038123,,,,,
Vellore,178420,08-05-2021,"16,14,242",11052.86568,,,,,
Villupuram,114348,08-05-2021,"20,93,003",5463.346206,,,,,
Virudhunagar,202040,08-05-2021,"19,43,309",10396.69965,,,,,
Ariyalur,24191,09-04-2021,"7,52,481",3214.832002,,,,,
Chengalpattu,146103,09-04-2021,"25,56,244",5715.534198,,,,,
Chennai,907070,09-04-2021,"71,00,000",12775.6338,,,,,
Coimbatore,224654,09-04-2021,"34,72,578",6469.372322,,,,,
Cuddalore,86434,09-04-2021,"26,00,880",3323.25982,,,,,
Dharmapuri,54247,09-04-2021,"15,02,900",3609.488323,,,,,
Dindigul,76375,09-04-2021,"21,61,367",3533.643291,,,,,
Erode,80008,09-04-2021,"22,59,608",3540.791146,,,,,
Kallakurichi,36507,09-04-2021,"13,70,281",2664.198073,,,,,
Kancheepuram,40649,09-04-2021,"11,66,401",3484.993583,,,,,
Kanniyakumari,67942,09-04-2021,"18,63,178",3646.56517,,,,,
Karur,38675,09-04-2021,"10,76,588",3592.36774,,,,,
Krishnagiri,92535,09-04-2021,"18,83,731",4912.325592,,,,,
Madurai,144414,09-04-2021,"39,91,038",3618.457153,,,,,
Nagapattinam,35922,09-04-2021,"16,14,069",2225.555413,,,,,
Namakkal,90764,09-04-2021,"7,35,071",12347.65077,,,,,
The Nilgiris,83800,09-04-2021,"24,71,222",3391.034881,,,,,
Perambalur,22624,09-04-2021,"17,21,179",1314.447829,,,,,
Pudukkottai,48781,09-04-2021,"5,64,511",8641.284227,,,,,
Ramanathapuram,40173,09-04-2021,"19,18,725",2093.73412,,,,,
Ranipet,26152,09-04-2021,"13,37,560",1955.20201,,,,,
Salem,222131,09-04-2021,"12,10,277",18353.73224,,,,,
Sivagangai,42442,09-04-2021,"34,80,008",1219.594897,,,,,
Tenkasi,38383,09-04-2021,"13,41,250",2861.733458,,,,,
Thanjavur,91485,09-04-2021,"14,07,627",6499.235948,,,,,
Theni,32368,09-04-2021,"27,13,858",1192.693206,,,,,
Thoothukudi,43407,09-04-2021,"12,43,684",3490.195259,,,,,
Tiruchirapalli,128849,09-04-2021,"16,65,253",7737.50295,,,,,
Tirunelveli,44244,09-04-2021,"24,02,781",1841.366317,,,,,
Tirupathur,37007,09-04-2021,"17,38,376",2128.825985,,,,,
Tiruppur,80211,09-04-2021,"11,11,812",7214.439132,,,,,
Tiruvallur,103950,09-04-2021,"37,25,697",2790.081963,,,,,
Tiruvannamalai,51277,09-04-2021,"12,68,094",4043.627681,,,,,
Tiruvarur,23502,09-04-2021,"24,68,965",951.8968475,,,,,
Vellore,96659,09-04-2021,"16,14,242",5987.887814,,,,,
Villupuram,79022,09-04-2021,"20,93,003",3775.532094,,,,,
Virudhunagar,122350,09-04-2021,"19,43,309",6295.962196,,,,,
Ariyalur,46285,09-05-2021,"7,52,481",6150.985872,,,,,
Chengalpattu,278670,09-05-2021,"25,56,244",10901.54148,,,,,
Chennai,1595021,09-05-2021,"71,00,000",22465.08451,,,,,
Coimbatore,438752,09-05-2021,"34,72,578",12634.76299,,,,,
Cuddalore,154951,09-05-2021,"26,00,880",5957.637415,,,,,
Dharmapuri,94611,09-05-2021,"15,02,900",6295.229224,,,,,
Dindigul,147251,09-05-2021,"21,61,367",6812.864266,,,,,
Erode,147907,09-05-2021,"22,59,608",6545.692881,,,,,
Kallakurichi,61688,09-05-2021,"13,70,281",4501.85035,,,,,
Kancheepuram,73866,09-05-2021,"11,66,401",6332.813501,,,,,
Kanniyakumari,126962,09-05-2021,"18,63,178",6814.2711,,,,,
Karur,62187,09-05-2021,"10,76,588",5776.304399,,,,,
Krishnagiri,146668,09-05-2021,"18,83,731",7786.037391,,,,,
Madurai,245710,09-05-2021,"39,91,038",6156.543736,,,,,
Nagapattinam,64125,09-05-2021,"16,14,069",3972.878483,,,,,
Namakkal,156199,09-05-2021,"7,35,071",21249.51195,,,,,
The Nilgiris,147828,09-05-2021,"24,71,222",5981.979765,,,,,
Perambalur,36670,09-05-2021,"17,21,179",2130.51635,,,,,
Pudukkottai,89599,09-05-2021,"5,64,511",15871.96707,,,,,
Ramanathapuram,76590,09-05-2021,"19,18,725",3991.713247,,,,,
Ranipet,50579,09-05-2021,"13,37,560",3781.437842,,,,,
Salem,370759,09-05-2021,"12,10,277",30634.22671,,,,,
Sivagangai,73053,09-05-2021,"34,80,008",2099.219312,,,,,
Tenkasi,66865,09-05-2021,"13,41,250",4985.27493,,,,,
Thanjavur,150622,09-05-2021,"14,07,627",10700.41993,,,,,
Theni,63137,09-05-2021,"27,13,858",2326.466602,,,,,
Thoothukudi,86337,09-05-2021,"12,43,684",6942.036723,,,,,
Tiruchirapalli,229504,09-05-2021,"16,65,253",13781.92983,,,,,
Tirunelveli,80494,09-05-2021,"24,02,781",3350.034814,,,,,
Tirupathur,72655,09-05-2021,"17,38,376",4179.475556,,,,,
Tiruppur,146434,09-05-2021,"11,11,812",13170.75189,,,,,
Tiruvallur,198036,09-05-2021,"37,25,697",5315.408097,,,,,
Tiruvannamalai,88854,09-05-2021,"12,68,094",7006.893811,,,,,
Tiruvarur,49309,09-05-2021,"24,68,965",1997.152653,,,,,
Vellore,178466,09-05-2021,"16,14,242",11055.71531,,,,,
Villupuram,114487,09-05-2021,"20,93,003",5469.987382,,,,,
Virudhunagar,202395,09-05-2021,"19,43,309",10414.96746,,,,,
Ariyalur,25041,10-04-2021,"7,52,481",3327.791665,,,,,
Chengalpattu,152807,10-04-2021,"25,56,244",5977.793982,,,,,
Chennai,936471,10-04-2021,"71,00,000",13189.73239,,,,,
Coimbatore,238408,10-04-2021,"34,72,578",6865.446939,,,,,
Cuddalore,89894,10-04-2021,"26,00,880",3456.291717,,,,,
Dharmapuri,55953,10-04-2021,"15,02,900",3723.002196,,,,,
Dindigul,79699,10-04-2021,"21,61,367",3687.43485,,,,,
Erode,83124,10-04-2021,"22,59,608",3678.691171,,,,,
Kallakurichi,37564,10-04-2021,"13,70,281",2741.335536,,,,,
Kancheepuram,42133,10-04-2021,"11,66,401",3612.222555,,,,,
Kanniyakumari,70780,10-04-2021,"18,63,178",3798.88556,,,,,
Karur,39940,10-04-2021,"10,76,588",3709.868585,,,,,
Krishnagiri,95243,10-04-2021,"18,83,731",5056.082848,,,,,
Madurai,148788,10-04-2021,"39,91,038",3728.052702,,,,,
Nagapattinam,37082,10-04-2021,"16,14,069",2297.423468,,,,,
Namakkal,93758,10-04-2021,"7,35,071",12754.95836,,,,,
The Nilgiris,86403,10-04-2021,"24,71,222",3496.367384,,,,,
Perambalur,23136,10-04-2021,"17,21,179",1344.19488,,,,,
Pudukkottai,49969,10-04-2021,"5,64,511",8851.731853,,,,,
Ramanathapuram,41839,10-04-2021,"19,18,725",2180.562613,,,,,
Ranipet,27674,10-04-2021,"13,37,560",2068.991298,,,,,
Salem,229274,10-04-2021,"12,10,277",18943.92771,,,,,
Sivagangai,43723,10-04-2021,"34,80,008",1256.405158,,,,,
Tenkasi,39354,10-04-2021,"13,41,250",2934.128611,,,,,
Thanjavur,94677,10-04-2021,"14,07,627",6726.000567,,,,,
Theni,33898,10-04-2021,"27,13,858",1249.070511,,,,,
Thoothukudi,45117,10-04-2021,"12,43,684",3627.689992,,,,,
Tiruchirapalli,133593,10-04-2021,"16,65,253",8022.384587,,,,,
Tirunelveli,46284,10-04-2021,"24,02,781",1926.267937,,,,,
Tirupathur,38777,10-04-2021,"17,38,376",2230.645154,,,,,
Tiruppur,84225,10-04-2021,"11,11,812",7575.471393,,,,,
Tiruvallur,108250,10-04-2021,"37,25,697",2905.496609,,,,,
Tiruvannamalai,52809,10-04-2021,"12,68,094",4164.438914,,,,,
Tiruvarur,24073,10-04-2021,"24,68,965",975.0239473,,,,,
Vellore,97619,10-04-2021,"16,14,242",6047.358451,,,,,
Villupuram,80274,10-04-2021,"20,93,003",3835.350451,,,,,
Virudhunagar,125212,10-04-2021,"19,43,309",6443.236768,,,,,
Ariyalur,47334,10-05-2021,"7,52,481",6290.391385,,,,,
Chengalpattu,282399,10-05-2021,"25,56,244",11047.41957,,,,,
Chennai,1610219,10-05-2021,"71,00,000",22679.14085,,,,,
Coimbatore,444201,10-05-2021,"34,72,578",12791.67811,,,,,
Cuddalore,157243,10-05-2021,"26,00,880",6045.761435,,,,,
Dharmapuri,96041,10-05-2021,"15,02,900",6390.378601,,,,,
Dindigul,150276,10-05-2021,"21,61,367",6952.821987,,,,,
Erode,151343,10-05-2021,"22,59,608",6697.754655,,,,,
Kallakurichi,62727,10-05-2021,"13,70,281",4577.674214,,,,,
Kancheepuram,75009,10-05-2021,"11,66,401",6430.807244,,,,,
Kanniyakumari,130329,10-05-2021,"18,63,178",6994.983839,,,,,
Karur,63339,10-05-2021,"10,76,588",5883.309121,,,,,
Krishnagiri,149937,10-05-2021,"18,83,731",7959.575969,,,,,
Madurai,249851,10-05-2021,"39,91,038",6260.301205,,,,,
Nagapattinam,64962,10-05-2021,"16,14,069",4024.735002,,,,,
Namakkal,161627,10-05-2021,"7,35,071",21987.94402,,,,,
The Nilgiris,151492,10-05-2021,"24,71,222",6130.246493,,,,,
Perambalur,37315,10-05-2021,"17,21,179",2167.990662,,,,,
Pudukkottai,90932,10-05-2021,"5,64,511",16108.10064,,,,,
